##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00326
##ORIENTATION=Laser parallel to -c* (0 0 -1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
1189.008, 88.42383
1190.092, 97.98975
1191.177, 42.61890
1192.260, 52.15381
1193.344, 45.91138
1194.428, 48.22217
1195.512, 51.79688
1196.595, 55.30664
1197.678, 60.82983
1198.761, 75.36865
1199.844, 27.91846
1200.927, 90.47949
1202.009, 37.04272
1203.092, 54.61694
1204.174, 23.18701
1205.256, 15.23413
1206.338, 73.34058
1207.420, 70.91968
1208.502, 41.50879
1209.583, 53.11108
1210.665, 23.27612
1211.746, 9.332764
1212.827, 79.94946
1213.908, 47.57812
1214.988, 0.7824710
1216.069, 43.85913
1217.149, 9.499512
1218.230, 92.13306
1219.310, 6.238525
1220.390, 18.38599
1221.470, 66.01318
1222.549, 23.63770
1223.629, 60.27295
1224.708, 29.90356
1225.787, 16.46582
1226.866, 37.84473
1227.945, 5.746582
1229.024, 26.32739
1230.103, 56.90112
1231.181, 40.46606
1232.259, 43.97705
1233.337, 45.54517
1234.415, 31.06079
1235.493, 13.56860
1236.571, 60.06641
1237.648, 3.443848
1238.726, 55.03076
1239.803, 64.49756
1240.880, 25.95703
1241.957, 49.40674
1243.034, 3.151367
1244.110, 20.27637
1245.187, 9.515381
1246.263, 23.10474
1247.339, 7.504639
1248.415, 18.89551
1249.491, 26.27759
1250.566, 16.65112
1251.642, 3.015625
1252.717, 10.37036
1253.793, 23.71631
1254.868, 25.05396
1255.943, 4.383545
1257.017, 22.70435
1258.092, 16.01733
1259.166, 71.32227
1260.241, 5.620605
1261.315, 11.08911
1262.389, 32.18604
1263.462, 19.54614
1264.536, 6.297852
1265.610, 20.93848
1266.683, 31.16772
1267.756, 18.39014
1268.829, 14.60571
1269.902, 2.186035
1270.975, 48.98730
1272.048, 34.17773
1273.120, 12.33667
1274.192, 52.51099
1275.264, 26.60693
1276.336, 0.7187500
1277.408, 49.82300
1278.480, 50.07764
1279.551, 61.98877
1280.623, 18.94946
1281.694, 23.09644
1282.765, 26.86304
1283.836, 15.15796
1284.907, 51.82593
1285.977, 26.15796
1287.048, 77.13843
1288.118, 26.88501
1289.188, 74.07324
1290.258, 42.00464
1291.328, 32.07227
1292.398, 10.78149
1293.467, 53.64941
1294.537, 12.57275
1295.606, 95.49170
1296.675, 21.41577
1297.744, 139.3364
1298.813, 4.253906
1299.882, 43.16724
1300.950, 39.07788
1302.018, 55.88892
1303.086, 55.38501
1304.155, 70.25684
1305.222, 29.09131
1306.290, 60.95825
1307.358, 21.85547
1308.425, 20.33740
1309.492, 61.54517
1310.559, 36.36328
1311.626, 57.76709
1312.693, 88.64575
1313.760, 10.44604
1314.826, 34.10913
1315.893, 65.97559
1316.959, 29.83813
1318.025, 24.67236
1319.091, 6.526611
1320.157, 72.16699
1321.222, 19.84668
1322.288, 72.49951
1323.353, 11.16089
1324.418, 99.83691
1325.483, 84.52686
1326.548, 79.23926
1327.612, 144.0120
1328.677, 66.57568
