##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00296
##ORIENTATION=Laser parallel to c* (0 0 1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
1336.656, 1501.066
1337.858, 880.305
1339.060, 2151.578
1340.261, 1662.004
1341.463, 1599.258
1342.664, 2886.867
1343.866, 2169.508
1345.067, 2713.262
1346.267, 3574.055
1347.468, 2902.961
1348.669, 3764.996
1349.869, 3787.203
1351.069, 3034.371
1352.269, 4225.766
1353.469, 3321.246
1354.668, 3681.785
1355.868, 3644.391
1357.067, 2546.059
1358.266, 3053.781
1359.465, 2761.059
1360.664, 1815.742
1361.862, 2338.957
1363.061, 1744.496
1364.259, 1280.168
1365.457, 2129.961
1366.655, 821.449
1367.852, 1082.172
1369.050, 1702.340
1370.247, 355.805
1371.444, 1295.664
1372.641, 1092.375
1373.838, 162.805
1375.035, 1484.070
1376.231, 492.688
1377.427, 420.102
1378.623, 1270.395
1379.819, 180.398
1381.015, 921.344
1382.211, 1272.449
1383.406, 892.133
1384.601, 1433.688
1385.796, 1113.102
1386.991, 326.352
1388.185, 1384.441
1389.380, 630.340
1390.574, 883.004
1391.768, 2075.410
1392.962, 961.516
1394.156, 1519.277
1395.350, 1535.668
1396.543, 460.621
1397.736, 1774.117
1398.929, 1469.855
1400.122, 585.281
1401.315, 1869.133
1402.507, 861.777
1403.700, 950.828
1404.892, 2033.031
1406.084, 488.582
1407.276, 1095.883
1408.467, 1452.426
1409.659, 442.238
1410.850, 1651.355
1412.041, 1065.852
1413.232, 263.840
1414.423, 1509.477
1415.614, 605.977
1416.804, 354.621
1417.994, 1361.617
1419.184, 19.883
1420.374, 846.430
1421.564, 815.367
1422.753, 20.027
1423.943, 1296.641
1425.132, 596.820
1426.321, 57.977
1427.510, 1170.516
1428.698, 293.316
1429.887, 655.391
1431.075, 1211.719
1432.263, 2.379
1433.451, 0.000
##END=



