##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00330
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
1198.761, 57.57300
1199.844, 84.96704
1200.927, 46.36792
1202.009, 57.76855
1203.092, 121.1755
1204.174, 53.59106
1205.256, 73.00659
1206.338, 96.41626
1207.420, 95.82300
1208.502, 48.23096
1209.583, 113.6372
1210.665, 15.05298
1211.746, 18.47363
1212.827, 46.88501
1213.908, 46.30103
1214.988, 1.716309
1216.069, 51.13232
1217.149, 100.5393
1218.230, 36.94751
1219.310, 54.35889
1220.390, 0.7844240
1221.470, 16.21729
1222.549, 8.353760
1223.629, 39.07007
1224.708, 40.48608
1225.787, 114.8977
1226.866, 86.13892
1227.945, 51.72754
1229.024, 11.13477
1230.103, 37.53711
1231.181, 67.07227
1232.259, 66.26831
1233.337, 51.60107
1234.415, 5.923340
1235.493, 56.23779
1236.571, 53.54321
1237.648, 76.83960
1238.726, 7.127197
1239.803, 12.40088
1240.880, 0.6635740
1241.957, 8.911377
1243.034, 10.14722
1244.110, 15.36987
1245.187, 16.58081
1246.263, 11.78003
1247.339, 14.03320
1248.415, 10.86963
1249.491, 4.272461
1250.566, 79.40088
1251.642, 43.52002
1252.717, 51.37036
1253.793, 26.69751
1254.868, 43.24512
1255.943, 3.775391
1257.017, 40.21680
1258.092, 59.75610
1259.166, 21.27954
1260.241, 4.339600
1261.315, 29.58496
1262.389, 11.50024
1263.462, 1.593750
1264.536, 25.29907
1265.610, 54.18311
1266.683, 13.05981
1267.756, 48.23120
1268.829, 19.78906
1269.902, 70.64160
1270.975, 54.48755
1272.048, 65.47998
1273.120, 3.839111
1274.192, 6.970215
1275.264, 21.78662
1276.336, 24.40356
1277.408, 21.22778
1278.480, 35.99023
1279.551, 33.23438
1280.623, 17.50244
1281.694, 20.99072
1282.765, 12.56372
1283.836, 3.356201
1284.907, 17.06177
1285.977, 26.76294
1287.048, 33.23975
1288.118, 25.11743
1289.188, 10.81055
1290.258, 9.371094
1291.328, 12.29150
1292.398, 2.704834
1293.467, 37.38379
1294.537, 23.05957
1295.606, 53.73291
1296.675, 25.40454
1297.744, 29.07300
1298.813, 74.56958
1299.882, 8.049561
1300.950, 24.49268
1302.018, 47.07227
1303.086, 54.60840
1304.155, 16.23730
1305.222, 14.87866
1306.290, 76.55347
1307.358, 18.95312
1308.425, 88.63794
1309.492, 13.22876
1310.559, 38.48877
1311.626, 0.9831540
1312.693, 40.95264
1313.760, 14.17432
1314.826, 60.64673
1315.893, 29.07056
1316.959, 34.51318
1318.025, 90.08789
1319.091, 17.51611
1320.157, 5.129395
1321.222, 53.31787
1322.288, 36.74609
1323.353, 26.03833
1324.418, 39.37915
1325.483, 2.079590
1326.548, 20.73633
1327.612, 40.58838
1328.677, 88.02832
1329.741, 130.3066
