##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
##PIN_ID=M01870
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
1188.793, 190.4541
1189.878, 173.5952
1190.963, 118.3147
1192.048, 112.4355
1193.133, 146.5508
1194.217, 117.5393
1195.302, 119.1074
1196.386, 141.3901
1197.470, 123.9111
1198.554, 176.3867
1199.638, 140.5674
1200.721, 228.3337
1201.805, 103.6089
1202.888, 175.1697
1203.971, 132.3042
1205.054, 166.7439
1206.137, 242.1172
1207.219, 231.1685
1208.302, 267.4011
1209.384, 226.0078
1210.466, 247.1943
1211.548, 275.2842
1212.630, 185.4902
1213.712, 152.2971
1214.794, 156.9734
1215.875, 263.1316
1216.956, 213.6301
1218.037, 223.4924
1219.118, 155.6057
1220.199, 195.9082
1221.280, 192.8748
1222.360, 256.9536
1223.441, 141.8208
1224.521, 281.1011
1225.601, 268.1416
1226.681, 204.5498
1227.760, 296.1919
1228.840, 211.1543
1229.919, 239.0010
1230.999, 257.0088
1232.078, 221.0117
1233.157, 246.7500
1234.236, 212.5383
1235.314, 253.2644
1236.393, 250.0142
1237.471, 247.5640
1238.549, 223.9089
1239.627, 230.8794
1240.705, 233.8213
1241.783, 259.2241
1242.860, 246.0864
1243.938, 270.8020
1245.015, 250.6926
1246.092, 266.2998
1247.169, 275.5574
1248.246, 284.0220
1249.323, 286.8975
1250.399, 288.5842
1251.475, 271.4050
1252.552, 261.0662
1253.628, 252.7905
1254.703, 258.3779
1255.779, 242.0835
1256.855, 261.7937
1257.930, 282.3916
1259.005, 199.1240
1260.080, 292.3313
1261.155, 212.9072
1262.230, 209.4707
1263.305, 274.1621
1264.379, 255.7007
1265.454, 221.2271
1266.528, 209.9272
1267.602, 276.4614
1268.676, 231.3354
1269.750, 262.4348
1270.823, 205.9031
1271.897, 128.3589
1272.970, 110.8030
1274.043, 80.23511
1275.116, 80.65527
1276.189, 85.06348
1277.261, 101.4595
1278.334, 52.84424
1279.406, 61.21582
1280.478, 20.57544
1281.550, 37.91968
1282.622, 23.25049
1283.694, 37.56616
1284.766, 55.86816
1285.837, 41.84131
1286.908, 13.59619
1287.979, 3.619629
1289.050, 102.8149
1290.121, 17.99878
1291.192, 137.1672
1292.262, 56.32397
1293.333, 65.46899
1294.403, 71.60205
1295.473, 66.72729
1296.543, 49.84082
1297.613, 80.94214
1298.682, 90.03247
1299.752, 35.11182
1300.821, 56.17822
1301.890, 29.23291
1302.959, 106.2744
1304.028, 51.30493
1305.096, 14.32397
1306.165, 5.327637
1307.233, 89.31592
1308.301, 61.29492
1309.370, 81.26245
1310.437, 20.22168
1311.505, 6.830566
1312.573, 9.133057
1313.640, 34.00977
1314.708, 9.091064
1315.775, 4.793213
1316.842, 46.68433
1317.908, 55.56812
1318.975, 66.81812
1320.042, 68.54565
1321.108, 72.01929
1322.174, 51.88770
1323.240, 44.67847
1324.306, 40.48901
1325.372, 26.35352
1326.438, 58.18164
1327.503, 13.03516
1328.568, 77.88354
1329.634, 0.2744140
1330.699, 28.44702
1331.763, 50.27222
1332.828, 54.09497
1333.893, 67.92310
1334.957, 15.75635
1336.021, 58.58691
1337.085, 46.40845
1338.149, 22.77002
1339.213, 114.0574
1340.277, 71.87720
1341.340, 60.68408
1342.404, 2.494873
1343.467, 17.29541
1344.530, 10.08936
1345.593, 71.87305
1346.655, 59.67212
1347.718, 23.46509
1348.780, 85.24902
1349.843, 28.04785
1350.905, 24.83911
1351.967, 49.62402
1353.028, 59.40649
1354.090, 43.18018
1355.152, 8.045166
1356.213, 72.72876
1357.274, 5.495850
1358.335, 118.2739
1359.396, 68.06274
1360.457, 13.95801
1361.517, 92.76782
1362.578, 20.58667
1363.638, 35.41699
1364.698, 49.95288
1365.758, 14.29468
1366.818, 57.92749
1367.878, 10.77832
1368.937, 4.360352
1369.997, 42.51050
1371.056, 87.37500
1372.115, 31.23901
1373.174, 88.15381
1374.232, 28.04028
1375.291, 87.88574
1376.350, 24.72510
1377.408, 100.5586
1378.466, 29.38696
1379.524, 84.20972
1380.582, 89.02710
1381.640, 57.84961
1382.697, 44.65698
1383.754, 40.45923
1384.812, 83.25635
1385.869, 29.04907
1386.926, 18.39551
1387.983, 100.3804
1389.039, 124.1521
1390.096, 33.91992
1391.152, 151.7034
1392.208, 125.4626
1393.264, 26.21802
1394.320, 60.72681
1395.376, 104.4739
1396.431, 128.2180
1397.487, 132.9590
1398.542, 147.6970
1399.597, 148.5901
1400.652, 120.1863
1401.707, 127.9136
